Plattform,Wohnung,Name,Datum,Kommentar,Gefundenes Muster,Originalsprache
Airbnb,HW3B,Nathanael,2025-09-28,"Wir bekamen wirklich direkt gute Anweisungen für den Check-in und für alle weitere Informationen. Die Kommunikation war unkompliziert und sehr freundlich.  Die Wohnung war super schön und auch wirklich sehr sauber. Eine gute Willkommens-Mappe mit Informationen und Tipps für Ausflüge und Restaurants.  Auch bei Rückfragen bekamen wir hilfreiche Rückmeldungen.  Die Sauna war richtig entspannend.  Sehr gute RBnB Wohnung, würde jeder Zeit wieder kommen!",wieder kommen,de
Airbnb,HW3B,Patrick,2025-07-31,Tolle Wohnung mit allem was man benötigt. Die Sächsische Schweiz hat sehr viel zu bieten und die Gastgeber haben jede Menge Ausflugtipps mit dem ein oder anderen Geheimtipp bereitgestellt. Bei Fragen waren sie jederzeit schnell erreichbar! Wir kommen bestimmt wieder!,kommen (gerne|sicher|bestimmt) wieder,de
Airbnb,HW3B,Michael,2025-01-05,Wir haben die Zeit in der Wohnung sehr genossen. Alles war sauber und wie in der Anzeige beschrieben. Wir kommen gerne wieder.,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,HW3B,Inka,2024-10-28,"Es war die zweite Wohnung von Urlaubsmagie, die wir bewohnen durften und auch dieses Mal war alles tip top. Auch kleine Probleme wurden unaufwändig und schnell behoben. Wir kommen gerne wieder.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,HW3B,Tabea,2024-09-05,"Es hat uns sehr gut gefallen, gerne wieder.",gerne wieder,de
Airbnb,HW3B,Ida,2024-07-14,"Sehr netter Kontakt und schöne, ordentliche Zimmer.  Die Tipps für die Umgebung waren sehr hilfreich.  Immer wieder gerne.",immer wieder (gern|kommen),de
Airbnb,HW3B,Gabi,2024-06-10,"saubere, helle und gemütliche Wohnung. Sehr funktionell, es hat uns an nichts gefehlt. Auch die Küche ist gut ausgestattet und blitzsauber. Wir kommen sehr gerne wieder 😊. Danke auch für die schnelle und unkomplizierte Kommunikation.",gerne wieder,de
Airbnb,L1,Hasan,2023-08-26,"Wir freuen uns diese Wohnung. Alles war super, immer wieder gerne:)",immer wieder (gern|kommen),de
Airbnb,L1,Clara,2023-04-05,"Die Wohnung ist super, vor allem ist die Küche was Gerätschaften angeht wirklich gut ausgestattet und auch sonst  hat es an nichts gefehlt. Das Team ist super erreichbar und der Selbstständige Check-In sehr praktisch. Außerdem perfekte Lage zum loswandern, wie beschrieben. Vielen Dank und gerne wieder!",gerne wieder,de
Airbnb,L4,Moritz,2025-10-17,Wir sind nach unserem Aufenthalt wunschlos glücklich und würden jederzeit wiederkommen :),jederzeit wieder,de
Airbnb,L4,Renate,2025-09-29,"In unmittelbarer Umgebung der tollen Sandsteinfelsen der sächsischen Schweiz und trotzdem ruhig und abseits des Touristentrubels, dazu bezahlbar - was will man mehr? Danke vielmals, wir kommen bestimmt wieder!",kommen (gerne|sicher|bestimmt) wieder,de
Airbnb,L4,Melanie,2025-09-28,"Super Lage, reibungsloser Aufenthalt - man hat alles was man benötigt und alles war wie auf den Fotos - gerne wieder :)",gerne wieder,de
Airbnb,L4,Jennifer,2025-09-17,"Es war wirklich alles super, wir konnten alles gut und schnell mit Auto erreichen. Die Unterkunft war sehr ruhig gelegen. Es war alles vorhanden, was das Herz begehrte. Definitiv preiswert! Ich würde sie wieder buchen :).",wieder buchen,de
Airbnb,L4,Julia,2025-04-27,"Es hat uns richtig gut gefallen! 🥰 Die Kommunikation war super, sehr freundlich und unkompliziert. Wir kommen gerne wieder und können die Unterkunft jedem empfehlen, der gerne in der sächsischen Schweiz wandert und mit Kind unterwegs ist.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,L5,Marisa,2025-11-22,"Die Wohnung war super sauber und sehr gepflegt, auf Nachrichten wurde schnell geantwortet und alles in allem war die Unterkunft sehr empfehlenswert. Immer gerne wieder.:)",gerne wieder,de
Airbnb,L5,Jörg,2025-04-09,Vielen Dank!!! Jederzeit gerne wieder.,gerne wieder,de
Airbnb,L5,Jeremiah,2025-03-07,"Ich habe ein paar schöne Tage in Lichtenhain verbracht, besonderer Pluspunkt ist für mich die nähe des Nationalparks und einem Wanderweg der quasi direkt hinter dem Haus anfängt. Anna-Lena und ihr Team haben auf Fragen von mir stets hilfreich und schnell geantwortet und ich werde ganz gewiss wieder kommen!",wieder kommen,de
Airbnb,L5,Lilli,2025-01-27,"Schnuckelige kleine Wohnung für einen unschlagbaren Preis. Kommunikation war einfach und freundlich, gerne wieder!",gerne wieder,de
Airbnb,L5,Christin,2024-12-28,"Ich war für einen Kurzurlaub zum Wandern in der sächsischen Schweiz und hab mich in der kleinen Wohnung sehr wohl gefühlt. Es war alles da was man braucht und sehr gemütlich.  Die Lage der Wohnung ist super, denn man erreicht in Kürze die Wanderwege.  Ich komme gerne wieder.  Liebe Grüße und alles Gute!",gerne wieder,de
Airbnb,L5,Eva,2024-01-11,"Alles super. Gute Lage, man kann direkt los wandern. Appartment sehr gemütlich, ruhig, sauber und gut ausgestattet. Man kommt auch ohne Auto gut hin.  Gerne wieder!",gerne wieder,de
Airbnb,L6,Meike,2025-08-10,"Das Apartment verfügt über alles, was wir für einen Kurzaufenthalt benötigten.  Sehr ruhig gelegen, gut um die sächsische Schweiz zu erkunden.  Wir würden die Unterkunft wieder buchen.",wieder buchen,de
Airbnb,L6,Daniela,2025-08-05,Alles war wie in der Beschreibung. Ich war sehr zufrieden. Sehr schnelle und super freundliche Kommunikation. Loswandern stimmt absolut. Es sind wundervolle Orte zu Fuß zu erreichen oder kurze Wege mit dem Auto auf einen der vielen Wanderparkplätze in der Gegend. Jeder Zeit gerne wieder. Vielen lieben Dank. 😊,gerne wieder,de
Airbnb,L6,Ronny,2025-07-23,"Absolut empfehlenswert! Tolle Unterkunft, blitzsauber, super Lage und ein herzlicher Gastgeber – gerne wieder!",gerne wieder,de
Airbnb,L6,Vanessa,2024-09-14,Wir waren für eine Woche in der Unterkunft. Es ist eine Einzimmer Unterkunft mit Bad. Alles wichtige ist in der Unterkunft zu finden. Es gibt Parkplätze vor der Tür. Die Kommunikation und Anweisungen waren sehr hilfreich und verständlich. Der selbstständige Checkin und Out war für uns sehr praktisch. Wir kommen gerne wieder. :),"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,L6,Jens,2024-06-06,Ich würde immer wieder kommen. Empfehlenswert,"wieder kommen, immer wieder (gern|kommen)",de
Airbnb,L6,Theresa,2024-04-24,"Uns hat die kurze Auszeit mit unserer 3 Monate alten Tochter sehr gut getan. Es war alles da, was man gebraucht hat. Es war sauber und ordentlich. Der Ort ist wunderbar gelegen. Es würde mich nicht wundern, wenn wir Mal wieder kommen.",wieder kommen,de
Airbnb,L6,Mohmmd,2024-01-06,Würde auf jeden Fall wieder buchen::),book again,en
Airbnb,L7,Jenny,2025-07-26,"Schnuckelige, kleine Unterkunft. Gemütlich und liebevoll eingerichtet. Auch mit Öffis gut zu erreichen. gerne wieder",gerne wieder,de
Airbnb,L7,Laura,2025-06-30,"Super eingerichtet, es wurde an weit es gehend alles gedacht.  due Kommunikation mit den Gastgebern verlief sehr entspannt und reibungslos.  Ich würde wieder buchen 😊","wieder buchen, würden wieder (kommen|buchen)",de
Airbnb,L7,Julian Immanuel,2025-05-05,Ich hatte eine wunderbare ruhige Zeit! In der Unterkunft konnte ich alles wie beschrieben vorfinden und ich fühlte mich super aufgehoben. Gerne jederzeit wieder👍🏻,jederzeit wieder,de
Airbnb,L8,Ronja,2025-09-22,"Sehr helles, sauberes & gemütliches Zimmer. Der Balkon ist ein plus. Super Lage und Anbindung an den Bus. Wir würden wieder kommen!","wieder kommen, würden wieder (kommen|buchen)",de
Airbnb,L8,Jonas,2025-09-09,"Alles bestens, gerne wieder!",gerne wieder,de
Airbnb,L8,Britta,2025-08-08,Wir waren super zufrieden und hatten eine tolle Zeit! Gerne wieder ❤️,gerne wieder,de
Airbnb,L8,Signe,2025-07-13,"Es ist ein sehr schönes Zimmer, perfekte Lage für Wanderausflüge. Der Gastgeber gab viele hilfreiche Anweisungen und lokale Empfehlungen. Würde auf jeden Fall wieder buchen!",book again,en
Airbnb,L8,Julian,2025-03-25,"Wir hatten eine wunderbare Zeit in der Unterkunft! Die Lage ist perfekt für Wanderungen – man kann direkt hinunter ins Tal starten und die wunderschöne Natur der Sächsischen Schweiz genießen. Ein besonderes Highlight war das tolle Restaurant mit Bowlingbahn in der Nähe – die Knusperschnitzel sind absolut empfehlenswert! Alles war sauber, gemütlich und genauso, wie beschrieben. Wir haben uns sehr wohlgefühlt und kommen gerne wieder. Vielen Dank für die schöne Zeit!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,L8,Johann,2024-07-30,"Nette, ruhige Unterkunft, vom Malerweg aus gut mit dem Bus zu erreichen. Hilfreiche Anweisungen seitens der Gastgeberin, einfach zu finden in schöner Umgebung inklusive Garten und Balkon. Rundum zufrieden, auch preislich. Gerne wieder!",gerne wieder,de
Airbnb,L8,Sugandha,2024-05-09,Alles in allem ein ruhiger und schöner Aufenthalt. Würde es auf jeden Fall wieder besuchen.,visit again,en
Airbnb,L8,Mary,2024-03-19,"Das Zimmer ist voll in Ordnung und wir haben uns wohlgefühlt. Wir waren nur überrascht, dass es keine Küche zur Selbstversorgung gab. Wie sich herausstellte, war diese auch als nicht vorhanden in der Anzeige dargestellt, jedoch aber Kochgeschirr, wodurch die Verwirrung entstand. Da wir bisher noch kein Airbnb hatten, wo es keine Kochgelegenheit gab, hatten wir bei der Buchung nicht darauf geachtet, das könnte in der Beschreibung evtl. deutlicher hervorgehoben werden. Nun ja, die Gastgeberin war super hilfsbereit und hat uns Kochgeschirr und eine Kochplatte ausgeliehen - Herzlichen Dank noch mal dafür! Die Gegend ist super schön. Das Gebirge ist nur 30 Minuten zu Fuß entfernt und wenn man ein Auto hat findet man schnell die übichen Einkaufsmöglichkeiten. Wir kommen gerne wieder, vielen Dank.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R1,Dale,2025-02-24,"Es war ein großartiger Ort, wir hatten einen kurzen Zwischenstopp, aber es war ein fantastischer Ort. Ich hatte keine Zeit, mich umzusehen, aber für einen Last-Minute-Check-in war es wirklich großartig und einfach. Ich würde auf jeden Fall wieder hier übernachten",stay again,en
Airbnb,R1,Emma,2025-02-20,"Die Unterkunft ist direkt neben dem Bahnhof Rathmannsdorf, Bad Schandau ist gut zu Fuß zu erreichen und von dort kann man gut Wanderrouten starten. Die Kommunikation war schnell, einfach und freundlich. Alles war sauber und wir haben uns sehr wohl gefühlt! Immer wieder gerne!",immer wieder (gern|kommen),de
Airbnb,R1,Petra,2025-02-16,"Vielen Dank für die freundliche Unterbringung und den Service. Wir kommen sicher wieder in diese Gegend und wenn hier was frei ist, auch gerne wieder in diese Unterkunft.  Unser Urlaubsgefühl mit der Urlaubsmagie ist angekommen. 😉","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R1,Simon,2025-02-05,"Wer einen kurzen Ausflug ins Elbsandsteingebirge macht, ist hier richtig. Tolle Wohnung, freundliche, hilfsbereite Kommunikation. Wir kommen gerne wieder.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R1,Alexander,2024-09-03,"alles war bestens, wir würden jederzeit gerne wieder kommen","gerne wieder, wieder kommen",de
Airbnb,R1,Alexander,2024-02-02,"Die Unterkunft entsprach der Beschreibung, es war alles sauber und ordentlich. Der Check-In war dank Schlüsselsafe absolut flexibel und die vorher bereitgestellten Anweisungen aussagekräftig, korrekt und hilfreich.  Die Mitnahme 2er Hunde stellte kein Problem dar.  Die Ausstattung war wie beschrieben und in der Küche war alles vorhanden um abzuspülen, sowie eine Grundausstattung an Gewürzen. Handtücher und Bettbezug waren sauber und ausreichend vorhanden. Wir haben uns in der Unterkunft sehr wohl gefühlt und würden wahrscheinlich wieder Buchen, wenn wir erneut in der Region Urlaub machen würden.",wieder buchen,de
Airbnb,R1,Jeremy,2023-05-06,"Schöner Aufenthalt bei Anna-Lena. Komfortable Erdgeschosswohnung, gut eingerichtet mit einer gut ausgestatteten Küche. Schön kühl bei warmem Wetter. Bad Schandau und Supermärkte sind zu Fuß erreichbar und wir haben im örtlichen Restaurant herrlich gegessen. Manchmal etwas laut von oben, aber nichts, was einen wach halten könnte. Würde gerne wieder hier übernachten.",stay again,en
Airbnb,R1,Julia,2023-03-26,Wir haben uns sofort wie Zuhause gefühlt. Die Wohnung war sehr sauber und mit allem was benötigt wird ausgestattet.  Bei Fragen war das  Urlaubsmagie Team schnell erreichbar.  Rundum waren wir mit allem Zufrieden und würden jederzeit wiederkommen ☺️,jederzeit wieder,de
Airbnb,R1,Jacqueline,2023-03-08,Wir können die Unterkunft nur empfehlen. Es hat mit der Buchung und der Kommunikation alles hervorragend funktioniert. Die Wohnung war sehr schön und sauber. Einkaufsmöglichkeiten sind auch gleich in der Nähe. Jederzeit wieder.,jederzeit wieder,de
Airbnb,R1,Sandra,2023-03-05,"Wir waren für ein Wochenende vor Ort und haben uns sofort wohlgefühlt. Das Haus ist leider sehr hellhörig, darauf sollte man sich ggf. einstellen, wenn man eher zu leichtem Schlaf neigt. Ansonsten tolle Ausstattung und tippitoppi sauber. Würden auf jeden Fall wiederkommen und können es definitiv empfehlen! :)",auf jeden Fall wieder,de
Airbnb,R1,Yan,2022-11-10,"Tolle Unterkunft für den Preis, gut gelegen und sauber! Kommen gerne wieder!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R1,Antonia,2022-09-21,"Die Wohnung ist super gemütlich und liebevoll eingerichtet. Es war alles da was man braucht und ist schnell an allen wichtigen Orten der Gegend. Besonders hilfreich fanden wir den Info-Ordner über Touren, Sehenswürdigkeiten und Restaurant-Empfehlungen.  Die Kommunikation war okay. Es gab ein Problemchen mit der Heizung, welches erst am nächsten Tag gelöst werden konnte, weshalb es in der ersten Nacht recht kalt war. Das hätte vorab geregelt werden können.  Den Bäcker um die Ecke können wir auch empfehlen, hier wird noch frisch gebacken :) Gerne wieder",gerne wieder,de
Airbnb,R1,Hryhorii,2022-06-19,"Es war ein magisches Wochenende an einem wunderschönen Ort! Die Wohnung ist sauber und schön. Alles ist bis ins kleinste Detail durchdacht. Meine Kinder haben sich über die Süßigkeiten auf dem Bett gefreut. Das Highlight war der große Innenhof mit Pool, Grill und Obstbäumen. Sie können im Freien frühstücken und dabei die Natur und den Blick auf die Berge genießen. Es ist wirklich ein wunderschöner Ort, an den wir gerne wieder zurückkehren würden. Ich empfehle es jedem! Herzlichen Dank für Ihre Gastfreundschaft!","gerne wieder, wieder zurück",de
Airbnb,R1,Jonas,2022-06-10,"Schön eingerichtete Wohnung in guter Lage. Alles zu Fuß erreichbar (Restaurants, Bäcker, Supermarkt,..). Wir waren mit unseren 2 Kindern in der Wohnung und haben uns sehr wohlgefühlt! Sauberkeit Top! Der Ort eignet sich optimal für Ausflüge mit dem Auto im gesamten Nationalpark. Gerne wieder..",gerne wieder,de
Airbnb,R1,Nils,2022-06-05,Sehr schöne Unterkunft! Alles super sauber und unproblematisch. Die Empfehlungen für die Restaurants und die verschiedenen Wanderrouten in der Nähe waren toll. Jederzeit wieder!,jederzeit wieder,de
Airbnb,R1,Sebastian,2022-04-19,Es war alles wunderbar. Wir kommen gerne wieder.,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R1,Annekathrin,2022-04-10,"Super saubere, wunderschöne und gemütliche Wohnung mit perfekter Lage zum Wandern.  Wir kommen sehr gerne wieder :)",gerne wieder,de
Airbnb,R1,Dalia,2022-03-22,"Wir haben uns sehr wohl gefühlt und werden definitiv wieder kommen, da wir noch nicht alles im Nationalpark gesehen haben und uns der Aufenthalt in der Wohnung sehr gut gefallen hat. :)  Die Wohnung ist mit neuen Möbeln sehr schick eingerichtet. Die Betten, das Bad, Toilette, Dusche, Handtücher, die Küche, Geschirr, Besteck, Wasserkocher; alles ist sehr sauber. Zu dem gibt es im Bad und in der Küche alles, was man in einem Zuhause braucht, um sich selbst zu versorgen.  Das Team von Urlaubsmagie ist total lieb und offen in der Kommunikation. Sie sind daran interessiert euch den Aufenthalt so schön wie möglich zu machen. Daher kann ich allen die Unterkunft mit sehr gutem Gewissen empfehlen. :)",wieder kommen,de
Airbnb,R1,Mageda,2022-03-13,"Alles lief wirklich hervorragend! Schnelle und zuvorkommende Antworten,  zufriedenstellende Sauberkeit und Bereitstellung verschiedenster Sachen (Tv Streaming Dienste, gutes Internet, Küchenutensilien, Duschzeug etc etc) haben den Aufenthalt wirklich angenehm und einwandfrei gemacht. Jederzeit gerne wieder!  Für uns war die Lage auch ohne Auto sehr gut, über die Brücke gelangten wir schnell zum Bahnhof, zudem hatten wir verschiedene Supermärkte in Nähe (Penny, Lidl, DM) :)",gerne wieder,de
Airbnb,R1,Mikołaj,2022-02-10,"Vielen Dank für die Möglichkeit, in Ihrer Wohnung übernachten zu dürfen. Wir haben einen sehr positiven Eindruck hinterlassen - es war sehr sauber, klimatisch, liebevoll eingerichtet und es hat uns an nichts gefehlt. Vielen Dank für den guten Kontakt und die Freundlichkeit Ihrerseits. Wir werden sicherlich eines Tages wiederkommen. Beste grüße!!!",(would|will) (definitely|gladly|surely|certainly)\s*(come|be) back,en
Airbnb,R1,Susanne,2022-02-01,Sehr schöne Unterkunft!  Alles super sauber und unproblematisch. Es gab sogar Empfehlungen für Restaurants und verschiedene Wanderrouten in der Nähe.  Jederzeit wieder!,jederzeit wieder,de
Airbnb,R1,Irina,2022-01-16,Wir hatten einen tollen Aufenthalt.  Alles vorhanden und sauber.  Die Kommunikation war schnell und freundlich.  Gerne wieder,gerne wieder,de
Airbnb,R1,Michael,2021-11-13,"Wir haben hier nur eine Nacht verbracht und es hat uns an nichts gefehlt. Die Wohnung von Anna-Lena ist ein guter Ausgangspunkt für Wanderungen,  Einkaufen kann man in unmittelbarer Nähe. Wir würden wieder kommen.","wieder kommen, würden wieder (kommen|buchen)",de
Airbnb,R1,Chris,2021-10-17,"Die Wohnung ist hervorragend ausgestattet und sehr sauber. Es gibt ein Schlafzimmer mit einem großen Doppelbett und ein Wohnzimmer, in dem ein etwas schmaleres Doppelbett steht. Wir konnten aber gut ausschlafen. Fernseher, Spülmaschine, Toaster – alles vorhanden. Lediglich das Internet war sehr langsam. Aber die beiden Gastgeber waren jederzeit erreichbar und haben sich immer bemüht, alle Probleme zu lösen. Wir kommen auf jeden Fall wieder!",auf jeden Fall wieder,de
Airbnb,R1,Lina,2021-10-10,"Gemütliche Ferienwohnung mit alle Extras auch zum kochen, waschen und duschen. Die Leute sind sehr nett und freundlich. Gerne wieder :)",gerne wieder,de
Airbnb,R2,Maximilian,2025-05-01,"Unterkunft war wie bei Airbnb beschrieben, sauber und gut ausgestattet. Ideal für Unternehmungen in der Gegend und für den Preis absolut in Ordnung. Jederzeit wieder",jederzeit wieder,de
Airbnb,R2,Jenny,2023-05-18,"Gut ausgestattete Wohnung, sehr zentral und Fußläufig nach Bad Schandau.  Würden immer wieder kommen","wieder kommen, immer wieder (gern|kommen)",de
Airbnb,R2,Carsten,2023-04-24,Alles super! Wir kommen gerne wieder!,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R2,Eric,2022-07-18,Check-In lief super problemlos. Die Gastgeber waren leicht erreichbar und die Unterkunft top. ☺️ Sehr gerne wieder.,gerne wieder,de
Airbnb,R2,Paul,2022-05-29,"Super Ausstattung, top Lage, gerne wieder!",gerne wieder,de
Airbnb,R2,Anne,2022-05-25,Wir waren mit öffentlichen Verkehrsmitteln bei Anna-Lena und es war alles sehr problemlos. Die Beschreibung passt 100% zur Wohnung. Eine eigene Glassammlung am Haus empfand ich als super Serviceleistung für die Gäste. Wir kommen gerne wieder.,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R2,Nico,2022-04-22,Tolles Basecamp für alle Ausflüge rund um die Sächsische Schweiz!  Gerne wieder und vielen Dank.,gerne wieder,de
Airbnb,R2,Jenny,2022-03-21,"Super Ausstattung, gute Lage, guter Anschluss an den ÖPNV, Selbsständiger/kontaktloser Check In. Guter Startpunkt für Wanderung in der gesamten sächsischen Schweiz. Gerne wieder.",gerne wieder,de
Airbnb,R2,Janina,2022-02-27,"Alles war super, gerne wieder! Einziges Manko ist, dass man die angegebenen Fernsehsender nur mit einem eigenen Abo schauen kann.",gerne wieder,de
Airbnb,R2,René,2022-02-19,"Die Wohnung ist sehr geräumig und mit allem ausgestattet, um sich auch selbst zu versorgen. Die Wohnung war super sauber, die Kommunikation unkompliziert. Insgesamt hatten wir einen schönen Aufenhalt und würden jederzeit gerne wieder kommen.","gerne wieder, wieder kommen",de
Airbnb,R2,Adina,2021-11-21,Wir hatten einen super erholsamen Aufenthalt in super Anbindung und Lage. Immer wieder gerne!,immer wieder (gern|kommen),de
Airbnb,R3,Damian,2025-09-26,"Alles in gutem Zustand, ein Ort, den man wieder besuchen kann.",visit again,en
Airbnb,R3,Anna,2025-09-24,"Wir hatten einen wundervollen Aufenthalt! Das Apartment ist schön eingerichtet und mit allem ausgestattet, was man braucht. Die Lage ist auch top. Wir kommen gerne wieder!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R3,Charlotte,2025-05-23,"Die Unterkunft hatte alles, was wir brauchten, und der Preis war sehr fair! Besonders gut hat mir gefallen, wie einfach das Ein- und Auschecken war. Wir kommen wieder :)",visit again,en
Airbnb,R3,Sven,2024-07-22,"aufgrund des annoncierten Textes hatten wir mit einem Balkon oder einer Terrasse gerechnet die leider nicht vorhanden waren Punkt ansonsten hat es alles sehr gut gefallen, immer wieder gern",immer wieder (gern|kommen),de
Airbnb,R3,Jochen,2024-04-09,"Schöne Wohnung in guter Lage zu einem hervorragenden Preis. Dazu war einiges an Schoki zur Begrüßung da und die Kommunikation lief einwandfrei. Gerne wieder, vielen Dank für den schönen Aufenthalt.",gerne wieder,de
Airbnb,R3,Sampo,2024-01-06,"Tolle Lage und Ort. Viele Wanderungen sind leicht zu erreichen, Supermärkte sind in der Nähe, ebenso eine Bäckerei, eine Tankstelle und ein Bahnhof. Würde auf jeden Fall wiederkommen!",(would|will) (definitely|gladly|surely|certainly)\s*(come|be) back,en
Airbnb,R3,Hussam,2023-12-24,Alles top gerne wieder! Hab mich da sehr wohl gefühlt!,gerne wieder,de
Airbnb,R3,Nico,2023-11-08,Wir haben ein verlängertes Wochenende in Bad Schandau verbracht. Ziel war es die Sächsische Schweiz zu erkunden. Der Check-In und Check-out  ist super einfach und flexibel. Vom Bahnhof ist die Wohnung in ca.20 min zu Fuß erreichbar. Durch die Kurkarte kann man super einfach mit dem Bus an beliebige Wandergebiete fahren. Wir kommen gerne wieder.,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R3,Johannes,2023-09-10,"Sehr freundlich und sehr sauber! Super Lage als Ausgangspunkt zum Wandern in der sächsischen Schweiz! Haben uns sehr wohl gefühlt, vielen Dank und gerne wieder!",gerne wieder,de
Airbnb,R3,Marco,2023-07-01,"Alles super, gerne wieder. :)",gerne wieder,de
Airbnb,R3,Lisa,2023-06-10,Alles läuft reibungslos! Werde beim nächsten Mal auf jeden Fall wiederkommen.,(would|will) (definitely|gladly|surely|certainly)\s*(come|be) back,en
Airbnb,R3,Nancy,2023-06-08,Sehr schöne Unterkunft und super nette Betreuung! Haben uns direkt wie zuhause gefühlt. Gemütliches Ambiente und tolle Lage. :) Kommen gerne wieder!,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R3,Sascha,2023-06-02,"Wir haben drei Nächte in der Unterkunft von Anna-Lena verbracht, um die Gegend (Bastei und Schrammsteine) zu erkunden. In der Unterkunft war alles vorhanden, Bad Schandau ist fußläufig gut zu erreichen und direkt gegenüber befindet sich eine gute Pizzeria. Der Kontakt mit Anna-Lena war super! Immer hilfsbereit und innerhalb von kürzester Zeit bekamen wir eine Antwort. Wir würden diese Unterkunft immer wieder buchen! :)",wieder buchen,de
Airbnb,R3,Juli,2023-03-17,"Es war eine wunderbare Zeit! Der Checkin war einfach und gut organisiert, die Wohnung makellos und Anna-Lena hat uns hilfreiche Tipps per Telefon geschickt. Gerne wieder:)",gerne wieder,de
Airbnb,R3,Luise,2023-03-12,Wir haben uns sehr wohl gefühlt und kommen gerne wieder! Vielen Dank! :),"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R3,Peter,2023-03-04,"Die Wohnung war wie beschrieben, mit einer gut ausgestatteten Küche und viel Platz zum Entspannen. Die Lage ist auch gut. Komme gerne wieder.",happy to (return|come back),en
Airbnb,R3,Leonie,2022-12-21,"Wir haben uns sehr wohl gefühlt. Die Kommunikation war reibungslos, sehr nett und schnell. Die Wohnung war gepflegt und sehr sauber. Es war alles vorhanden, was man benötigt, und zudem ist die Lage wirklich gut. Wir kommen gerne wieder!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R3,Michael,2022-09-07,"Alles super. Super einfacher check in, alle Infos und alles was man braucht da. Gerne wieder :)",gerne wieder,de
Airbnb,R3,Stefani,2022-08-31,"Eine sehr schöne Unterkunft, geräumig und mit Grundausstattungen in der Küche. Sehr gemütlich eingerichtet mit Kerzen und Lichterketten und der Garten ist super schön, auch mit dem Pool. In der Wohnung gibt es einige Spinnen und ein paar andere Insekten, die wahrscheinlich wegen der umliegenden Natur unvermeidbar sind, wenn man lüftet. Hat mich aber nicht weiter gestört. Gerne wieder :)",gerne wieder,de
Airbnb,R3,Nathalie,2022-08-28,"Wir hatten einen wirklich schönen Aufenthalt, die gute Lage (Supermärkte waren zu Fuß erreichbar) und die gute Kommunikation mit Anna-Lena, ich würde auf jeden Fall wiederkommen.",(would|will) (definitely|gladly|surely|certainly)\s*(come|be) back,en
Airbnb,R3,Elisabeth,2022-08-20,"Dies ist eine schöne Wohnung mit toller Lage. Wandern beginnt buchstäblich direkt vor der Tür. Anna-Lena antwortet sehr schnell und das Team ist sehr hilfsbereit. Sie bieten auf jeden Fall einen großartigen Kundensupport. Wenn Sie einen leichten Schlaf haben, empfehle ich Ihnen, Ohrstöpsel mitzubringen, da es auf der Hauptstraße etwas laut sein kann, wenn Sie bei geöffnetem Fenster schlafen. Die Wohnung ist sauber und hat alles was man braucht. Allerdings könnte das Bett im Wohnzimmer eine Matratzenauflage gebrauchen, um es bequemer zu machen, und aufgrund der vielen Katzen draußen konnten wir den Garten nicht oft nutzen. Wenn wir uns um diese Details kümmern könnten, würden wir auf jeden Fall wiederkommen.  Es ist so eine schöne Wohnung",visit again,en
Airbnb,R3,Martin,2022-07-29,"Wunderschöne und top ausgestattete Wohnung, die super gelegen ist für etwaige Ausflüge in der sächsische Schweiz. Wir haben uns sehr wohl gefühlt und kommen gerne wieder.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R3,Kirsten,2022-07-11,Schönes Apartment in toller Lage. Komplett ausgestattet mit allem was man braucht und perfekt um einfach los zu wandern und die Gegend zu erkunden! Wir kommen gerne wieder!,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,R3,Brian,2022-05-17,"Alles war super und ich würde immer wieder kommen. Die Wohnung war super gut ausgestattet und war auch in einer schönen Lage. 3 min zur Elbe. Die Straße hoch am Hang, konnte man eine Treppe hochgehen, von dort aus konnte man übers gesamte Dorf gucken. Traumhaft :)","wieder kommen, immer wieder (gern|kommen)",de
Airbnb,S1,Gina,2024-04-28,"Wir hatten ein schönes Wanderwochenende, alles entsprach unseren Vorstellungen. Es hat uns sehr gut gefallen, kommen gerne wieder!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
